model,model_release_date
Claude-Haiku-4-5-20251001 (zero shot with freeze values),2025-10-01
Claude-Haiku-4-5-20251001 (zero shot),2025-10-01
Claude-3-Opus-20240229 (scratchpad with freeze values),2024-02-29
Claude-3-Opus-20240229 (scratchpad with news with freeze values),2024-02-29
Claude-3-Opus-20240229 (scratchpad with news),2024-02-29
Claude-3-Opus-20240229 (scratchpad),2024-02-29
Claude-3-Opus-20240229 (superforecaster with news 1),2024-02-29
Claude-3-Opus-20240229 (superforecaster with news 2),2024-02-29
Claude-3-Opus-20240229 (superforecaster with news 3),2024-02-29
Claude-3-Opus-20240229 (zero shot with freeze values),2024-02-29
Claude-3-Opus-20240229 (zero shot),2024-02-29
Claude-Opus-4-1-20250805 (scratchpad with freeze values),2025-08-05
Claude-Opus-4-1-20250805 (scratchpad),2025-08-05
Claude-Opus-4-1-20250805 (zero shot with freeze values),2025-08-05
Claude-Opus-4-1-20250805 (zero shot),2025-08-05
Claude-Opus-4-5-20251101 (zero shot with freeze values),2025-11-24
Claude-Opus-4-5-20251101 (zero shot),2025-11-24
Claude-Opus-4-20250514 (scratchpad with freeze values),2025-05-22
Claude-Opus-4-20250514 (scratchpad),2025-05-22
Claude-Opus-4-20250514 (zero shot with freeze values),2025-05-22
Claude-Opus-4-20250514 (zero shot),2025-05-22
Claude-Sonnet-4-20250514 (scratchpad with freeze values),2025-05-22
Claude-Sonnet-4-20250514 (scratchpad),2025-05-22
Claude-Sonnet-4-20250514 (zero shot with freeze values),2025-05-22
Claude-Sonnet-4-20250514 (zero shot),2025-05-22
Claude-Sonnet-4-5-20250929 (scratchpad with freeze values),2025-09-29
Claude-Sonnet-4-5-20250929 (scratchpad),2025-09-29
Claude-Sonnet-4-5-20250929 (zero shot with freeze values),2025-09-29
Claude-Sonnet-4-5-20250929 (zero shot),2025-09-29
DeepSeek-R1 (scratchpad with freeze values),2025-01-20
DeepSeek-R1 (scratchpad),2025-01-20
DeepSeek-R1 (zero shot with freeze values),2025-01-20
DeepSeek-R1 (zero shot),2025-01-20
DeepSeek-V3 (scratchpad with freeze values),2024-12-25
DeepSeek-V3 (scratchpad),2024-12-25
DeepSeek-V3 (zero shot with freeze values),2024-12-25
DeepSeek-V3 (zero shot),2024-12-25
DeepSeek-V3.1 (scratchpad with freeze values),2025-08-21
DeepSeek-V3.1 (scratchpad),2025-08-21
DeepSeek-V3.1 (zero shot with freeze values),2025-08-21
DeepSeek-V3.1 (zero shot),2025-08-21
GLM-4.5-Air-FP8 (scratchpad with freeze values),2025-07-28
GLM-4.5-Air-FP8 (scratchpad),2025-07-28
GLM-4.5-Air-FP8 (zero shot with freeze values),2025-07-28
GLM-4.5-Air-FP8 (zero shot),2025-07-28
GLM-4.6 (zero shot with freeze values),2025-11-13
GLM-4.6 (zero shot),2025-11-13
GPT-3.5-Turbo-0125 (scratchpad with freeze values),2024-01-25
GPT-3.5-Turbo-0125 (scratchpad),2024-01-25
GPT-3.5-Turbo-0125 (zero shot with freeze values),2024-01-25
GPT-3.5-Turbo-0125 (zero shot),2024-01-25
GPT-4-0613 (scratchpad with freeze values),2023-06-13
GPT-4-0613 (scratchpad),2023-06-13
GPT-4-0613 (zero shot with freeze values),2023-06-13
GPT-4-0613 (zero shot),2023-06-13
GPT-4-Turbo-2024-04-09 (scratchpad with freeze values),2024-04-09
GPT-4-Turbo-2024-04-09 (scratchpad with news with freeze values),2024-04-09
GPT-4-Turbo-2024-04-09 (scratchpad with news),2024-04-09
GPT-4-Turbo-2024-04-09 (scratchpad),2024-04-09
GPT-4-Turbo-2024-04-09 (superforecaster with news 1),2024-04-09
GPT-4-Turbo-2024-04-09 (superforecaster with news 2),2024-04-09
GPT-4-Turbo-2024-04-09 (superforecaster with news 3),2024-04-09
GPT-4-Turbo-2024-04-09 (zero shot with freeze values),2024-04-09
GPT-4-Turbo-2024-04-09 (zero shot),2024-04-09
GPT-4.1-2025-04-14 (scratchpad with freeze values),2025-04-14
GPT-4.1-2025-04-14 (scratchpad),2025-04-14
GPT-4.1-2025-04-14 (zero shot with freeze values),2025-04-14
GPT-4.1-2025-04-14 (zero shot),2025-04-14
GPT-4.5-Preview-2025-02-27 (scratchpad with freeze values),2025-02-27
GPT-4.5-Preview-2025-02-27 (scratchpad),2025-02-27
GPT-4.5-Preview-2025-02-27 (zero shot with freeze values),2025-02-27
GPT-4.5-Preview-2025-02-27 (zero shot),2025-02-27
GPT-4o (scratchpad with SECOND news),2024-05-13
GPT-4o (scratchpad with freeze values),2024-05-13
GPT-4o (scratchpad with news with freeze values),2024-05-13
GPT-4o (scratchpad with news),2024-05-13
GPT-4o (scratchpad),2024-05-13
GPT-4o (superforecaster with news 1),2024-05-13
GPT-4o (superforecaster with news 2),2024-05-13
GPT-4o (superforecaster with news 3),2024-05-13
GPT-4o (zero shot with freeze values),2024-05-13
GPT-4o (zero shot),2024-05-13
GPT-4o-2024-05-13 (scratchpad with freeze values),2024-05-13
GPT-4o-2024-05-13 (scratchpad),2024-05-13
GPT-4o-2024-05-13 (zero shot with freeze values),2024-05-13
GPT-4o-2024-05-13 (zero shot),2024-05-13
GPT-4o-2024-11-20 (scratchpad with freeze values with web search),2024-11-20
GPT-4o-2024-11-20 (scratchpad with web search),2024-11-20
GPT-4o-2024-11-20 (zero shot with freeze values with web search),2024-11-20
GPT-4o-2024-11-20 (zero shot with web search),2024-11-20
GPT-5-2025-08-07 (scratchpad with freeze values),2025-08-07
GPT-5-2025-08-07 (scratchpad),2025-08-07
GPT-5-2025-08-07 (zero shot with freeze values),2025-08-07
GPT-5-2025-08-07 (zero shot),2025-08-07
GPT-5-Mini-2025-08-07 (scratchpad with freeze values),2025-08-07
GPT-5-Mini-2025-08-07 (scratchpad),2025-08-07
GPT-5-Mini-2025-08-07 (zero shot with freeze values),2025-08-07
GPT-5-Mini-2025-08-07 (zero shot),2025-08-07
GPT-5-Nano-2025-08-07 (scratchpad with freeze values),2025-08-07
GPT-5-Nano-2025-08-07 (scratchpad),2025-08-07
GPT-5-Nano-2025-08-07 (zero shot with freeze values),2025-08-07
GPT-5-Nano-2025-08-07 (zero shot),2025-08-07
GPT-5.1-2025-11-13 (zero shot with freeze values),2025-11-13
GPT-5.1-2025-11-13 (zero shot),2025-11-13
Gemini-1.5-Flash (scratchpad with freeze values),2024-05-01
Gemini-1.5-Flash (scratchpad with news with freeze values),2024-05-01
Gemini-1.5-Flash (scratchpad with news),2024-05-01
Gemini-1.5-Flash (scratchpad),2024-05-01
Gemini-1.5-Flash (superforecaster with news 1),2024-05-01
Gemini-1.5-Flash (superforecaster with news 2),2024-05-01
Gemini-1.5-Flash (superforecaster with news 3),2024-05-01
Gemini-1.5-Flash (zero shot with freeze values),2024-05-01
Gemini-1.5-Flash (zero shot),2024-05-01
Gemini-1.5-Pro (scratchpad with freeze values),2024-05-01
Gemini-1.5-Pro (scratchpad with news with freeze values),2024-05-01
Gemini-1.5-Pro (scratchpad with news),2024-05-01
Gemini-1.5-Pro (scratchpad),2024-05-01
Gemini-1.5-Pro (superforecaster with news 1),2024-05-01
Gemini-1.5-Pro (superforecaster with news 2),2024-05-01
Gemini-1.5-Pro (superforecaster with news 3),2024-05-01
Gemini-1.5-Pro (zero shot with freeze values),2024-05-01
Gemini-1.5-Pro (zero shot),2024-05-01
Gemini-2.0-Flash-Lite-001 (scratchpad with freeze values),2025-02-05
Gemini-2.0-Flash-Lite-001 (scratchpad),2025-02-05
Gemini-2.0-Flash-Lite-001 (zero shot with freeze values),2025-02-05
Gemini-2.0-Flash-Lite-001 (zero shot),2025-02-05
Gemini-2.5-Flash (scratchpad with freeze values),2025-06-17
Gemini-2.5-Flash (scratchpad),2025-06-17
Gemini-2.5-Flash (zero shot with freeze values),2025-06-17
Gemini-2.5-Flash (zero shot),2025-06-17
Gemini-2.5-Flash-Preview-04-17 (scratchpad with freeze values),2025-04-17
Gemini-2.5-Flash-Preview-04-17 (scratchpad),2025-04-17
Gemini-2.5-Flash-Preview-04-17 (zero shot with freeze values),2025-04-17
Gemini-2.5-Flash-Preview-04-17 (zero shot),2025-04-17
Gemini-3-Flash-Preview (zero shot with freeze values),2025-12-17
Gemini-3-Flash-Preview (zero shot),2025-12-17
Gemini-2.5-Pro (scratchpad with freeze values),2025-06-17
Gemini-2.5-Pro (scratchpad),2025-06-17
Gemini-2.5-Pro (zero shot with freeze values),2025-06-17
Gemini-2.5-Pro (zero shot),2025-06-17
Gemini-2.5-Pro-Exp-03-25 (scratchpad with freeze values),2025-03-25
Gemini-2.5-Pro-Exp-03-25 (scratchpad),2025-03-25
Gemini-2.5-Pro-Exp-03-25 (zero shot with freeze values),2025-03-25
Gemini-2.5-Pro-Exp-03-25 (zero shot),2025-03-25
Gemini-2.5-Pro-Preview-03-25 (scratchpad with freeze values),2025-04-04
Gemini-2.5-Pro-Preview-03-25 (scratchpad),2025-04-04
Gemini-2.5-Pro-Preview-03-25 (zero shot with freeze values),2025-04-04
Gemini-2.5-Pro-Preview-03-25 (zero shot),2025-04-04
Gemini-3-Pro-Preview (zero shot with freeze values),2025-11-18
Gemini-3-Pro-Preview (zero shot),2025-11-18
Grok-beta (scratchpad with freeze values),2024-11-04
Grok-beta (scratchpad),2024-11-04
Grok-beta (zero shot with freeze values),2024-11-04
Grok-beta (zero shot),2024-11-04
Grok-4-0709 (scratchpad with freeze values),2025-07-09
Grok-4-0709 (scratchpad),2025-07-09
Grok-4-0709 (zero shot with freeze values),2025-07-09
Grok-4-0709 (zero shot),2025-07-09
Grok-4-Fast-Reasoning (scratchpad with freeze values),2025-09-19
Grok-4-Fast-Reasoning (scratchpad),2025-09-19
Grok-4-Fast-Reasoning (zero shot with freeze values),2025-09-19
Grok-4-Fast-Reasoning (zero shot),2025-09-19
Grok-4-Fast-Non-Reasoning (scratchpad with freeze values),2025-09-19
Grok-4-Fast-Non-Reasoning (scratchpad),2025-09-19
Grok-4-Fast-Non-Reasoning (zero shot with freeze values),2025-09-19
Grok-4-Fast-Non-Reasoning (zero shot),2025-09-19
Grok-4-1-Fast-Reasoning (zero shot with freeze values),2025-11-17
Grok-4-1-Fast-Reasoning (zero shot),2025-11-17
Grok-4-1-Fast-Non-Reasoning (zero shot with freeze values),2025-11-17
Grok-4-1-Fast-Non-Reasoning (zero shot),2025-11-17
UnusedGrok-2-1212 (scratchpad with freeze values),2024-12-12
UnusedGrok-2-1212 (scratchpad),2024-12-12
UnusedGrok-2-1212 (zero shot with freeze values),2024-12-12
UnusedGrok-2-1212 (zero shot),2024-12-12
UnusedGrok-3 (scratchpad with freeze values),2025-02-17
UnusedGrok-3 (scratchpad),2025-02-17
UnusedGrok-3 (zero shot with freeze values),2025-02-17
UnusedGrok-3 (zero shot),2025-02-17
UnusedGrok-3-Beta (scratchpad with freeze values),2025-02-17
UnusedGrok-3-Beta (scratchpad),2025-02-17
UnusedGrok-3-Beta (zero shot with freeze values),2025-02-17
UnusedGrok-3-Beta (zero shot),2025-02-17
UnusedGrok-3-Mini (scratchpad with freeze values),2025-05-19
UnusedGrok-3-Mini (scratchpad),2025-05-19
UnusedGrok-3-Mini (zero shot with freeze values),2025-05-19
UnusedGrok-3-Mini (zero shot),2025-05-19
UnusedGrok-3-Mini-Beta (scratchpad with freeze values),2025-02-17
UnusedGrok-3-Mini-Beta (scratchpad),2025-02-17
UnusedGrok-3-Mini-Beta (zero shot with freeze values),2025-02-17
UnusedGrok-3-Mini-Beta (zero shot),2025-02-17
Imputed Forecaster,
Kimi-K2-Instruct (scratchpad with freeze values),2025-07-12
Kimi-K2-Instruct (scratchpad),2025-07-12
Kimi-K2-Instruct (zero shot with freeze values),2025-07-12
Kimi-K2-Instruct (zero shot),2025-07-12
Kimi-K2-Instruct-0905 (scratchpad with freeze values),2025-09-05
Kimi-K2-Instruct-0905 (scratchpad),2025-09-05
Kimi-K2-Instruct-0905 (zero shot with freeze values),2025-09-05
Kimi-K2-Instruct-0905 (zero shot),2025-09-05
Kimi-K2-Thinking (zero shot with freeze values),2025-11-05
Kimi-K2-Thinking (zero shot),2025-11-05
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean log odds with news",
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean with news",
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) median with news",
Llama-2-70b-Chat-Hf (scratchpad with freeze values),2023-07-18
Llama-2-70b-Chat-Hf (scratchpad),2023-07-18
Llama-2-70b-Chat-Hf (zero shot with freeze values),2023-07-18
Llama-2-70b-Chat-Hf (zero shot),2023-07-18
Llama-3-70b-Chat-Hf (scratchpad with freeze values),2024-04-18
Llama-3-70b-Chat-Hf (scratchpad),2024-04-18
Llama-3-70b-Chat-Hf (zero shot with freeze values),2024-04-18
Llama-3-70b-Chat-Hf (zero shot),2024-04-18
Llama-3-8b-Chat-Hf (scratchpad with freeze values),2024-04-18
Llama-3-8b-Chat-Hf (scratchpad),2024-04-18
Llama-3-8b-Chat-Hf (zero shot with freeze values),2024-04-18
Llama-3-8b-Chat-Hf (zero shot),2024-04-18
Llama-3.2-3B-Instruct-Turbo (scratchpad with freeze values),2024-09-25
Llama-3.2-3B-Instruct-Turbo (scratchpad),2024-09-25
Llama-3.2-3B-Instruct-Turbo (zero shot with freeze values),2024-09-25
Llama-3.2-3B-Instruct-Turbo (zero shot),2024-09-25
Llama-3.3-70B-Instruct-Turbo (scratchpad with freeze values),2024-12-06
Llama-3.3-70B-Instruct-Turbo (scratchpad),2024-12-06
Llama-3.3-70B-Instruct-Turbo (zero shot with freeze values),2024-12-06
Llama-3.3-70B-Instruct-Turbo (zero shot),2024-12-06
Llama-4-Maverick-17B-128E-Instruct-FP8 (scratchpad with freeze values),2025-04-05
Llama-4-Maverick-17B-128E-Instruct-FP8 (scratchpad),2025-04-05
Llama-4-Maverick-17B-128E-Instruct-FP8 (zero shot with freeze values),2025-04-05
Llama-4-Maverick-17B-128E-Instruct-FP8 (zero shot),2025-04-05
Llama-4-Scout-17B-16E-Instruct (scratchpad with freeze values),2025-04-05
Llama-4-Scout-17B-16E-Instruct (scratchpad),2025-04-05
Llama-4-Scout-17B-16E-Instruct (zero shot with freeze values),2025-04-05
Llama-4-Scout-17B-16E-Instruct (zero shot),2025-04-05
Magistral-Medium-2506 (scratchpad with freeze values),2025-05-28
Magistral-Medium-2506 (scratchpad),2025-05-28
Magistral-Medium-2506 (zero shot with freeze values),2025-05-28
Magistral-Medium-2506 (zero shot),2025-05-28
Meta-Llama-3.1-405B-Instruct-Turbo (scratchpad with freeze values),2024-07-23
Meta-Llama-3.1-405B-Instruct-Turbo (scratchpad),2024-07-23
Meta-Llama-3.1-405B-Instruct-Turbo (zero shot with freeze values),2024-07-23
Meta-Llama-3.1-405B-Instruct-Turbo (zero shot),2024-07-23
Mistral-Large-2407 (scratchpad with freeze values),2024-07-24
Mistral-Large-2407 (scratchpad),2024-07-24
Mistral-Large-2407 (zero shot with freeze values),2024-07-24
Mistral-Large-2407 (zero shot),2024-07-24
Mistral-Large-2411 (scratchpad with freeze values),2024-11-18
Mistral-Large-2411 (scratchpad),2024-11-18
Mistral-Large-2411 (zero shot with freeze values),2024-11-18
Mistral-Large-2411 (zero shot),2024-11-18
Mistral-Large-Latest (scratchpad with freeze values),2024-02-26
Mistral-Large-Latest (scratchpad with news with freeze values),2024-02-26
Mistral-Large-Latest (scratchpad with news),2024-02-26
Mistral-Large-Latest (scratchpad),2024-02-26
Mistral-Large-Latest (superforecaster with news 1),2024-02-26
Mistral-Large-Latest (superforecaster with news 2),2024-02-26
Mistral-Large-Latest (superforecaster with news 3),2024-02-26
Mistral-Large-Latest (zero shot with freeze values),2024-02-26
Mistral-Large-Latest (zero shot),2024-02-26
Mixtral-8x22B-Instruct-V0.1 (scratchpad with freeze values),2024-04-17
Mixtral-8x22B-Instruct-V0.1 (scratchpad with news with freeze values),2024-04-17
Mixtral-8x22B-Instruct-V0.1 (scratchpad with news),2024-04-17
Mixtral-8x22B-Instruct-V0.1 (scratchpad),2024-04-17
Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 1),2024-04-17
Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 2),2024-04-17
Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 3),2024-04-17
Mixtral-8x22B-Instruct-V0.1 (zero shot with freeze values),2024-04-17
Mixtral-8x22B-Instruct-V0.1 (zero shot),2024-04-17
Mixtral-8x7B-Instruct-V0.1 (scratchpad with freeze values),2023-12-11
Mixtral-8x7B-Instruct-V0.1 (scratchpad with news with freeze values),2023-12-11
Mixtral-8x7B-Instruct-V0.1 (scratchpad with news),2023-12-11
Mixtral-8x7B-Instruct-V0.1 (scratchpad),2023-12-11
Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 1),2023-12-11
Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 2),2023-12-11
Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 3),2023-12-11
Mixtral-8x7B-Instruct-V0.1 (zero shot with freeze values),2023-12-11
Mixtral-8x7B-Instruct-V0.1 (zero shot),2023-12-11
Naive Forecaster,
O3-2025-04-16 (scratchpad with freeze values),2025-04-16
O3-2025-04-16 (scratchpad),2025-04-16
O3-2025-04-16 (zero shot with freeze values),2025-04-16
O3-2025-04-16 (zero shot),2025-04-16
O3-Mini-2025-01-31 (scratchpad with freeze values),2025-01-31
O3-Mini-2025-01-31 (scratchpad),2025-01-31
O3-Mini-2025-01-31 (zero shot with freeze values),2025-01-31
O3-Mini-2025-01-31 (zero shot),2025-01-31
O4-Mini-2025-04-16 (scratchpad with freeze values),2025-04-16
O4-Mini-2025-04-16 (scratchpad),2025-04-16
O4-Mini-2025-04-16 (zero shot with freeze values),2025-04-16
O4-Mini-2025-04-16 (zero shot),2025-04-16
Public median forecast,
QwQ-32B-Preview (scratchpad with freeze values),2024-11-28
QwQ-32B-Preview (scratchpad),2024-11-28
QwQ-32B-Preview (zero shot with freeze values),2024-11-28
QwQ-32B-Preview (zero shot),2024-11-28
Qwen1.5-110B-Chat (scratchpad with freeze values),2024-04-25
Qwen1.5-110B-Chat (scratchpad with news with freeze values),2024-04-25
Qwen1.5-110B-Chat (scratchpad with news),2024-04-25
Qwen1.5-110B-Chat (scratchpad),2024-04-25
Qwen1.5-110B-Chat (superforecaster with news 1),2024-04-25
Qwen1.5-110B-Chat (superforecaster with news 2),2024-04-25
Qwen1.5-110B-Chat (superforecaster with news 3),2024-04-25
Qwen1.5-110B-Chat (zero shot with freeze values),2024-04-25
Qwen1.5-110B-Chat (zero shot),2024-04-25
Qwen2.5-72B-Instruct-Turbo (scratchpad with freeze values),2024-09-19
Qwen2.5-72B-Instruct-Turbo (scratchpad),2024-09-19
Qwen2.5-72B-Instruct-Turbo (zero shot with freeze values),2024-09-19
Qwen2.5-72B-Instruct-Turbo (zero shot),2024-09-19
Qwen3-235B-A22B-Fp8-Tput (scratchpad with freeze values),2025-04-29
Qwen3-235B-A22B-Fp8-Tput (scratchpad),2025-04-29
Qwen3-235B-A22B-Fp8-Tput (zero shot with freeze values),2025-04-29
Qwen3-235B-A22B-Fp8-Tput (zero shot),2025-04-29
Qwen3-235B-A22B-Thinking-2507 (scratchpad with freeze values),2025-07-25
Qwen3-235B-A22B-Thinking-2507 (scratchpad),2025-07-25
Qwen3-235B-A22B-Thinking-2507 (zero shot with freeze values),2025-07-25
Qwen3-235B-A22B-Thinking-2507 (zero shot),2025-07-25
Random Uniform,
Superforecaster median forecast,
